Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT1, BOOT2, RST1, RST2",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02,
C1,0805,1,10uF,
"C10, C11, C12, C16, C18, C19, C52",0402,7,100 nF,
"C13, C14",0603,2,2.2 uF,
"C15, C8",0603,2,1 uF,
"C17, C9",0603,2,10 uF,
C2,0603,1,22uF,
"C20, C21, C22, C23, C36, C40, C42, C44, C45, C46, C47, C53, C54, C55",0402,14,100nF,
"C24, C3, C39, C41",0603,4,10uF,
"C25, C37",0603,2,2.2uF,
C26,0402,1,47pF,
C27,0402,1,7.5pF,
C28,0402,1,3.9pF,
"C29, C31",0402,2,1.8pF,
C30,0402,1,22pF,
C32,0402,1,2.2pF,
C33,0402,1,18pF,
"C34, C35, C43",0603,3,1uF,
C38,0603,1,4.7uF,
"C4, C7",0402,2,8pF,
"C48, C49, C5, C6",0402,4,9pF,
D4,0805,1,D_Schottky,
"FB1, FB2, FB3",NFZ15SG152SN10B,3,BLM15AX102SN1D,
IC1,MPM3606GQVZ,1,MPM3610GQV-Z,
IC2,TO228P990X238-3N,1,IRFR9014PBF,
"IC3, IC4",ICM42670P,2,ICM-45686,
IC5,MMC5983MA,1,MMC5983MA,
IC6,SOIC127P600X175-8N,1,AT25SF041B-SSHB-B,
J1,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,battery,
"J10, J12",73412-0110,2,73412-0114,
"J11, J2",USB_C_Receptacle_GCT_USB4085,2,USB_C_Receptacle_USB2.0_16P,
J13,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J14,microSD_HC_Molex_104031-0811,1,Micro_SD_Card_Det2,
J15,TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal,1,Arm,
J3,PinHeader_2x03_P2.54mm_Vertical,1,Conn_02x03_Top_Bottom,
J4,TerminalBlock_Xinya_XY308-2.54-12P_1x12_P2.54mm_Horizontal,1,Screw_Terminal_01x12,
L1,INDC2520X120N,1,"2.2 uH, 1.5A",
L2,0603,1,12nH,
L3,0402,1,22nH,
L4,0402,1,4.7nH,
L5,0402,1,3.9nH,
L6,0402,1,7.5nH,
L7,0402,1,24nH,
L8,0805,1,2.2uH,
LR1,LR2021,1,~,
LS1,PS1240P02BT,1,PS1240P02BT,
"Q1, Q2, Q3, Q4, Q5, Q8",SOT-23,6,DMN3404L,
Q7,SOT-23,1,MMBT2222A,
"R1, R2, R23, R24",0402,4,5.1K,
"R10, R16, R18, R20, R21, R22, R25, R29, R30, R9",0402,10,1k,
"R11, R15, R26, R27, R28, R7, R8",0402,7,10k,
"R12, R13",0402,2,2.7k,
"R14, R6",0402,2,100k,
R17,0402,1,12k,
R19,0402,1,3k,
R3,0402,1,75k,
R4,0402,1,24k,
R5,0402,1,39k,
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,1,STM32U073CCUx,
U2,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias,1,STM32U585CIUxQ,
U3,BMP581,1,BMP581,
U4,ublox_MAX,1,MAX-M10S,
Y1,ECS160836B2CKMTR,1,ECS-160-8-36B2-CKM-TR,
"Y2, Y4",CM7V32768TBQA020,2,CM7V-T1A-32.768KHZ,
Y3,ECSTXO25CSMV320AMTR,1,ECS-TXO-25CSMV-320-AM-TR,
