Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,105.73,-87.0,90.0,top
BOOT2,126.0,-94.73,0.0,top
C1,145.5,-95.85,270.0,bottom
C10,117.060589,-89.460589,135.0,top
C11,121.4,-94.22,90.0,top
C12,110.0,-93.22,270.0,top
C13,122.6,-94.125,90.0,top
C14,110.351992,-91.151992,135.0,top
C15,112.451992,-99.651992,315.0,top
C16,113.060589,-98.460589,315.0,top
C17,120.6,-97.625,270.0,bottom
C18,119.4,-97.52,270.0,bottom
C19,125.08,-105.6,0.0,bottom
C2,141.8,-86.225,90.0,top
C20,121.4,-112.72,90.0,bottom
C21,123.8,-111.88,90.0,bottom
C22,128.6,-111.68,270.0,bottom
C23,126.8,-111.92,270.0,bottom
C24,124.75,-123.05,270.0,top
C25,119.975,-152.8,180.0,top
C26,117.8,-153.18,270.0,top
C27,113.52,-159.1,0.0,top
C28,113.52,-161.9,0.0,top
C29,113.52,-164.7,0.0,top
C3,145.025,-91.6,0.0,bottom
C30,114.0,-157.68,270.0,top
C31,113.0,-160.52,270.0,top
C32,115.73,-155.6,0.0,top
C33,115.25,-156.98,270.0,top
C34,110.225,-152.55,180.0,top
C35,117.2,-145.225,90.0,top
C36,110.82,-148.65,180.0,top
C37,115.7,-145.225,90.0,top
C38,110.275,-147.45,180.0,top
C39,141.2,-157.975,90.0,top
C4,103.2,-97.92,90.0,top
C40,133.92,-164.4,180.0,top
C41,132.825,-101.2,0.0,top
C42,133.060589,-99.460589,315.0,top
C43,139.451992,-97.748008,45.0,top
C44,135.939411,-89.139411,315.0,top
C45,135.0,-100.6,270.0,top
C46,138.460589,-96.939411,225.0,top
C47,129.339411,-93.060589,225.0,top
C48,136.660589,-100.939411,45.0,top
C49,139.539411,-104.860589,45.0,top
C5,107.12,-95.2,0.0,top
C52,125.12,-106.6,180.0,bottom
C53,132.8,-151.12,90.0,top
C54,131.7,-151.12,90.0,top
C55,133.9,-151.12,90.0,top
C6,105.12,-90.4,0.0,top
C7,109.2,-97.92,270.0,top
C8,108.8,-93.425,270.0,top
C9,118.4,-87.825,90.0,top
D4,133.3375,-83.2,180.0,top
FB1,123.8,-83.2,0.0,top
FB2,126.2,-83.2,180.0,top
FB3,135.4,-114.2,90.0,bottom
IC1,146.9,-88.55,180.0,top
IC2,146.0,-104.75,270.0,top
IC3,122.0,-112.25,0.0,top
IC4,128.05,-112.225,180.0,top
IC5,125.0,-118.925,0.0,top
IC6,134.538,-86.155,0.0,bottom
J1,147.5,-95.57,90.0,top
J10,115.0,-171.0,180.0,top
J11,130.325,-78.595,180.0,top
J12,131.71,-171.0,180.0,top
J13,102.0,-105.73,0.0,top
J14,140.0,-106.0,90.0,bottom
J15,147.5,-116.23,90.0,top
J2,119.675,-78.595,180.0,top
J3,125.0,-88.27,90.0,top
J4,147.5,-136.17,90.0,top
L1,120.922183,-97.477817,45.0,top
L2,113.2125,-154.1,0.0,top
L3,113.515,-165.7,0.0,top
L4,114.0,-155.785,270.0,top
L5,114.0,-160.515,270.0,top
L6,114.0,-163.285,270.0,top
L7,115.25,-154.185,270.0,top
L8,113.1875,-145.85,180.0,top
LR1,115.0,-150.0,180.0,top
LS1,125.0,-135.0,90.0,top
Q1,141.8625,-130.0,180.0,top
Q2,141.8625,-135.0,180.0,top
Q3,141.8625,-140.0,180.0,top
Q4,141.8625,-145.2,180.0,top
Q5,141.8625,-150.2,180.0,top
Q7,138.6625,-107.55,0.0,top
Q8,141.8625,-124.8,180.0,top
R1,120.95,-83.11,270.0,top
R10,110.09,-96.4,0.0,top
R11,116.29,-87.0,0.0,top
R12,121.91,-108.0,180.0,top
R13,121.89,-106.6,180.0,top
R14,146.49,-111.2,0.0,top
R15,148.2,-101.09,90.0,bottom
R16,138.94,-123.9,180.0,top
R17,145.49,-112.2,0.0,top
R18,138.96,-129.15,180.0,top
R19,143.49,-112.2,0.0,top
R2,118.4,-83.09,270.0,top
R20,138.94,-134.1,180.0,top
R21,138.96,-139.2,180.0,top
R22,138.96,-144.4,180.0,top
R23,131.6,-85.11,270.0,top
R24,129.05,-83.11,270.0,top
R25,136.960624,-99.160624,135.0,top
R26,128.6,-97.29,90.0,top
R27,123.6,-98.29,90.0,top
R28,130.09,-97.6,0.0,top
R29,137.71,-109.8,180.0,top
R3,148.35,-89.51,90.0,bottom
R30,138.96,-149.4,180.0,top
R4,148.35,-87.49,90.0,bottom
R5,147.0,-90.91,270.0,bottom
R6,147.49,-91.4,180.0,top
R7,101.51,-88.4,0.0,top
R8,107.49,-90.4,0.0,top
R9,109.69,-99.4,0.0,top
RST1,112.27,-87.0,90.0,top
RST2,127.27,-100.0,90.0,top
U1,134.513864,-94.375223,225.0,top
U2,115.624777,-94.513864,135.0,top
U3,125.0,-106.275,0.0,top
U4,135.0,-158.0,270.0,top
Y1,106.2,-98.0,180.0,top
Y2,105.15,-92.8,0.0,top
Y3,120.725,-149.675,270.0,top
Y4,138.516117,-102.483883,45.0,top
